frameNo,frameName,chapterNo,chapterName
6,"Innvandring, regional utvikling og bolig",821,Bosetting av flyktninger og tiltak for innvandrere
6,"Innvandring, regional utvikling og bolig",822,Opplæring i norsk og samfunnskunnskap for voksne innvandrere
6,"Innvandring, regional utvikling og bolig",823,Kontaktutvalget mellom innvandrerbefolkningen og myndighetene
6,"Innvandring, regional utvikling og bolig",1533,Sametinget
6,"Innvandring, regional utvikling og bolig",1534,Tilskudd til samiske formål
6,"Innvandring, regional utvikling og bolig",1535,Galdu – Kompetansesenteret for urfolks rettigheter
6,"Innvandring, regional utvikling og bolig",1536,Internasjonalt reindriftssenter
6,"Innvandring, regional utvikling og bolig",1540,Nasjonale minoriteter
6,"Innvandring, regional utvikling og bolig",2412,Husbanken
6,"Innvandring, regional utvikling og bolig",2426,SIVA SF
6,"Innvandring, regional utvikling og bolig",3490,Utlendingsdirektoratet
6,"Innvandring, regional utvikling og bolig",3585,Husleietvistutvalget
6,"Innvandring, regional utvikling og bolig",3587,Direktoratet for byggkvalitet
6,"Innvandring, regional utvikling og bolig",3821,Bosetting av flyktninger og tiltak for innvandrere
6,"Innvandring, regional utvikling og bolig",3822,Opplæring i norsk og samfunnskunnskap for voksne innvandrere
6,"Innvandring, regional utvikling og bolig",4533,Sametinget
6,"Innvandring, regional utvikling og bolig",4535,Galdu – Kompetansesenteret for urfolks rettigheter
6,"Innvandring, regional utvikling og bolig",4536,Internasjonalt reindriftssenter
6,"Innvandring, regional utvikling og bolig",4540,Nasjonale minoriteter
6,"Innvandring, regional utvikling og bolig",5312,Husbanken
6,"Innvandring, regional utvikling og bolig",5326,SIVA SF
6,"Innvandring, regional utvikling og bolig",5613,Renter fra SIVA SF
6,"Innvandring, regional utvikling og bolig",5615,Husbanken
7,Arbeid og sosial,600,Arbeidsdepartementet
7,Arbeid og sosial,601,"Utredningsvirksomhet, forskning m.m."
7,Arbeid og sosial,604,Utviklingstiltak i arbeids- og velferdsforvaltningen
7,Arbeid og sosial,605,Arbeids- og velferdsetaten
7,Arbeid og sosial,606,Trygderetten
7,Arbeid og sosial,611,Pensjoner av statskassen
7,Arbeid og sosial,612,Tilskudd til Statens pensjonskasse
7,Arbeid og sosial,613,Arbeidsgiveravgift til folketrygden
7,Arbeid og sosial,614,Boliglånsordningen i Statens pensjonskasse
7,Arbeid og sosial,615,Yrkesskadeforsikring
7,Arbeid og sosial,616,Gruppelivsforsikring
7,Arbeid og sosial,621,Tilskudd til sosiale tjenester og sosial inkludering
7,Arbeid og sosial,634,Arbeidsmarkedstiltak
7,Arbeid og sosial,635,Ventelønn
7,Arbeid og sosial,640,Arbeidstilsynet
7,Arbeid og sosial,642,Petroleumstilsynet
7,Arbeid og sosial,643,Statens arbeidsmiljøinstitutt
7,Arbeid og sosial,646,Pionerdykkere i Nordsjøen
7,Arbeid og sosial,648,"Arbeidsretten, Riksmekleren m.m."
7,Arbeid og sosial,649,Treparts bransjeprogrammer
7,Arbeid og sosial,660,Krigspensjon
7,Arbeid og sosial,664,Pensjonstrygden for sjømenn
7,Arbeid og sosial,666,Avtalefestet pensjon (AFP)
7,Arbeid og sosial,667,Supplerende stønad til personer over 67 år
7,Arbeid og sosial,847,Tiltak for personer med nedsatt funksjonsevne
7,Arbeid og sosial,2470,Statens pensjonskasse
7,Arbeid og sosial,2540,Stønad under arbeidsledighet til fiskere og fangstmenn
7,Arbeid og sosial,2541,Dagpenger
7,Arbeid og sosial,2542,Statsgaranti for lønnskrav ved konkurs mv.
7,Arbeid og sosial,2620,Stønad til enslig mor eller far
7,Arbeid og sosial,2650,Sykepenger
7,Arbeid og sosial,2651,Arbeidsavklaringspenger
7,Arbeid og sosial,2655,Uførhet
7,Arbeid og sosial,2661,"Grunn- og hjelpestønad, hjelpemidler mv."
7,Arbeid og sosial,2670,Alderdom
7,Arbeid og sosial,2680,Etterlatte
7,Arbeid og sosial,2686,Gravferdsstønad
7,Arbeid og sosial,3605,Arbeids- og velferdsetaten
7,Arbeid og sosial,3614,Boliglånsordningen i Statens pensjonskasse
7,Arbeid og sosial,3615,Yrkesskadeforsikring
7,Arbeid og sosial,3616,Gruppelivsforsikring
7,Arbeid og sosial,3634,Arbeidsmarkedstiltak
7,Arbeid og sosial,3635,Ventelønn mv.
7,Arbeid og sosial,3640,Arbeidstilsynet
7,Arbeid og sosial,3642,Petroleumstilsynet
7,Arbeid og sosial,5470,Statens pensjonskasse
7,Arbeid og sosial,5607,Renter av boliglånsordningen i Statens pensjonskasse
7,Arbeid og sosial,5701,Diverse inntekter
7,Arbeid og sosial,5704,Statsgaranti for lønnskrav ved konkurs
7,Arbeid og sosial,5705,Refusjon av dagpenger
8,Forsvar,1700,Forsvarsdepartementet
8,Forsvar,1710,Forsvarsbygg og nybygg og nyanlegg
8,Forsvar,1716,Forsvarets forskningsinstitutt
8,Forsvar,1719,Fellesutgifter og tilskudd til foretak under Forsvarsdepartementet
8,Forsvar,1720,Felles ledelse og kommandoapparat
8,Forsvar,1721,Felles ledelse av Forsvarets spesialstyrker
8,Forsvar,1723,Nasjonal sikkerhetsmyndighet
8,Forsvar,1725,Fellesinstitusjoner og -utgifter under Forsvarsstaben
8,Forsvar,1731,Hæren
8,Forsvar,1732,Sjøforsvaret
8,Forsvar,1733,Luftforsvaret
8,Forsvar,1734,Heimevernet
8,Forsvar,1735,Etterretningstjenesten
8,Forsvar,1740,Forsvarets logistikkorganisasjon
8,Forsvar,1760,Nyanskaffelser av materiell og nybygg og nyanlegg
8,Forsvar,1761,Nye kampfly med baseløsning
8,Forsvar,1790,Kystvakten
8,Forsvar,1791,Redningshelikoptertjenesten
8,Forsvar,1792,Norske styrker i utlandet
8,Forsvar,1795,Kulturelle og allmennyttige formål
8,Forsvar,4700,Forsvarsdepartementet
8,Forsvar,4710,Forsvarsbygg og nybygg og nyanlegg
8,Forsvar,4719,Fellesinntekter til foretak under Forsvarsdepartementet
8,Forsvar,4720,Felles ledelse og kommandoapparat
8,Forsvar,4723,Nasjonal sikkerhetsmyndighet
8,Forsvar,4725,Fellesinstitusjoner og -inntekter under Forsvarsstaben
8,Forsvar,4731,Hæren
8,Forsvar,4732,Sjøforsvaret
8,Forsvar,4733,Luftforsvaret
8,Forsvar,4734,Heimevernet
8,Forsvar,4740,Forsvarets logistikkorganisasjon
8,Forsvar,4760,Nyanskaffelser av materiell og nybygg og nyanlegg
8,Forsvar,4790,Kystvakten
8,Forsvar,4791,Redningshelikoptertjenesten
8,Forsvar,4792,Norske styrker i utlandet
8,Forsvar,4795,Kulturelle og allmennyttige formål
8,Forsvar,4799,Militære bøter
9,Næring,900,Nærings- og handelsdepartementet
9,Næring,901,Patentstyret
9,Næring,902,Justervesenet
9,Næring,903,Norsk akkreditering
9,Næring,904,Brønnøysundregistrene
9,Næring,905,Norges geologiske undersøkelse
9,Næring,906,Direktoratet for mineralforvaltning med Bergmesteren for Svalbard
9,Næring,909,Tiltak for sysselsetting av sjøfolk
9,Næring,910,Sjøfartsdirektoratet
9,Næring,913,Standardisering
9,Næring,914,Klagenemnda for industrielle rettigheter
9,Næring,922,Romvirksomhet
9,Næring,924,Internasjonalt samarbeid og utviklingsprogrammer
9,Næring,930,Norsk Design- og Arkitektursenter
9,Næring,934,Internasjonaliseringstiltak
9,Næring,937,Svalbard Reiseliv AS
9,Næring,950,Forvaltning av statlig eierskap
9,Næring,953,Kings Bay AS
9,Næring,960,Raufoss ASA
9,Næring,1550,Konkurransetilsynet
9,Næring,2421,Innovasjon Norge
9,Næring,2429,Eksportkreditt Norge AS
9,Næring,2460,Garanti-instituttet for eksportkreditt
9,Næring,3900,Nærings- og handelsdepartementet
9,Næring,3901,Patentstyret
9,Næring,3902,Justervesenet
9,Næring,3903,Norsk akkreditering
9,Næring,3904,Brønnøysundregistrene
9,Næring,3905,Norges geologiske undersøkelse
9,Næring,3906,Direktoratet for mineralforvaltning med Bergmesteren for Svalbard
9,Næring,3910,Sjøfartsdirektoratet
9,Næring,3914,Klagenemnda for industrielle rettigheter
9,Næring,3950,Forvaltning av statlig eierskap
9,Næring,3961,Selskaper under NHDs forvaltning
9,Næring,4550,Konkurransetilsynet
9,Næring,5325,Innovasjon Norge
9,Næring,5329,Eksportkreditt Norge AS
9,Næring,5460,Garanti-instituttet for eksportkreditt
9,Næring,5614,Renter fra Garanti-instituttet for eksportkreditt
9,Næring,5629,Renter fra eksportkredittordningen
9,Næring,5650,Renter på lån fra Nærings- og handelsdepartementet
10,Fiskeri,1000,Fiskeri- og kystdepartementet
10,Fiskeri,1001,Deltakelse i internasjonale organisasjoner
10,Fiskeri,1030,Fiskeridirektoratet
10,Fiskeri,1050,Diverse fiskeriformål
10,Fiskeri,2415,"Innovasjon Norge, fiskeri- og andre regionalpolitiske tiltak"
10,Fiskeri,4000,Fiskeri- og kystdepartementet
10,Fiskeri,4030,Fiskeridirektoratet
11,Landbruk,1100,Landbruks- og matdepartementet
11,Landbruk,1112,Kunnskapsutvikling og beredskap m.m. på matområdet
11,Landbruk,1115,Mattilsynet
11,Landbruk,1138,Støtte til organisasjoner m.m.
11,Landbruk,1139,"Genressurser, miljø- og ressursregistreringer"
11,Landbruk,1141,Kunnskapsutvikling m.m. innen miljø- og næringstiltak i landbruket
11,Landbruk,1143,Statens landbruksforvaltning
11,Landbruk,1144,Regionale og lokale tiltak i landbruket
11,Landbruk,1147,Statens reindriftsforvaltning
11,Landbruk,1148,Naturskade – erstatninger
11,Landbruk,1149,Verdiskapings- og utviklingstiltak i skogbruket
11,Landbruk,1150,Til gjennomføring av jordbruksavtalen m.m.
11,Landbruk,1151,Til gjennomføring av reindriftsavtalen
11,Landbruk,1161,Myndighetsoppgaver og sektorpolitiske oppgaver på statsgrunn
11,Landbruk,4100,Landbruks- og matdepartementet
11,Landbruk,4112,Kunnskapsutvikling og beredskap m.m. på matområdet
11,Landbruk,4115,Mattilsynet
11,Landbruk,4143,Statens landbruksforvaltning
11,Landbruk,4147,Statens reindriftsforvaltning
11,Landbruk,4150,Til gjennomføring av jordbruksavtalen m.m.
11,Landbruk,4162,Statskog SF – forvaltning av statlig eierskap
12,Olje og energi,1800,Olje- og energidepartementet
12,Olje og energi,1810,Oljedirektoratet
12,Olje og energi,1815,Petoro AS
12,Olje og energi,1820,Norges vassdrags- og energidirektorat
12,Olje og energi,1825,"Energiomlegging, energi- og klimateknologi"
12,Olje og energi,1826,Statnett SF
12,Olje og energi,1830,Forskning og næringsutvikling
12,Olje og energi,1840,CO2-håndtering
12,Olje og energi,2440,Statens direkte økonomiske engasjement i petroleumsvirksomheten
12,Olje og energi,2442,Disponering av innretninger på kontinentalsokkelen
12,Olje og energi,2490,NVE Anlegg
12,Olje og energi,4800,Olje- og energidepartementet
12,Olje og energi,4810,Oljedirektoratet
12,Olje og energi,4820,Norges vassdrags- og energidirektorat
12,Olje og energi,4825,"Energiomlegging, energi- og klimateknologi"
12,Olje og energi,4829,Konsesjonsavgiftsfondet
12,Olje og energi,4840,CO2-håndtering
12,Olje og energi,5440,Statens direkte økonomiske engasjement i petroleumsvirksomheten
12,Olje og energi,5490,NVE Anlegg
13,Miljø,1400,Miljøverndepartementet
13,Miljø,1406,Miljøvennlig skipsfart
13,Miljø,1407,Miljøhensyn i offentlige innkjøp
13,Miljø,1408,Radioaktiv forurensning i det ytre miljø
13,Miljø,1410,Miljøvernforskning og miljøovervåking
13,Miljø,1420,Miljødirektoratet
13,Miljø,1425,Vilt- og fisketiltak
13,Miljø,1429,Riksantikvaren
13,Miljø,1432,Norsk kulturminnefond
13,Miljø,1465,"Statens kartverk, arbeid med tinglysing og nasjonal geografisk infrastruktur"
13,Miljø,1471,Norsk Polarinstitutt
13,Miljø,1472,Svalbard miljøvernfond
13,Miljø,1474,Fram – Nordområdesenter for klima- og miljøforskning
13,Miljø,2465,Statens kartverk
13,Miljø,4400,Miljøverndepartementet
13,Miljø,4420,Miljødirektoratet
13,Miljø,4429,Riksantikvaren
13,Miljø,4465,"Statens kartverk, arbeid med tinglysing og nasjonal geografisk infrastruktur"
13,Miljø,4471,Norsk Polarinstitutt
14,Konstitusjonelle institusjoner,1,H.M. Kongen og H.M. Dronningen
