chapterNo,postNo,text,amount
855,1,"Driftsutgifter, kan nyttes under post 22 og post 60",4018612000
856,1,"Driftsutgifter ",200139000
858,1,"Driftsutgifter, kan nyttes under kap. 855 post 1",246470000
859,1,"Driftsutgifter, kan overføres",7798000
867,1,"Driftsutgifter ",9428000
868,1,"Driftsutgifter ",23037000
900,1,"Driftsutgifter ",205200000
901,1,"Driftsutgifter ",242800000
902,1,"Driftsutgifter ",120000000
903,1,"Driftsutgifter ",39700000
904,1,"Driftsutgifter ",309000000
905,1,"Driftsutgifter ",186200000
906,1,"Driftsutgifter ",23800000
910,1,"Driftsutgifter ",373000000
914,1,"Driftsutgifter ",5800000
1000,1,"Driftsutgifter ",132000000
1020,1,"Driftsutgifter ",358340000
1021,1,"Driftsutgifter ",132480000
1022,1,"Driftsutgifter ",67850000
1030,1,"Driftsutgifter ",373740000
1062,1,"Driftsutgifter, kan nyttes under post 45",1691794000
1070,1,"Driftsutgifter ",44410000
1100,1,"Driftsutgifter ",146277000
1115,1,"Driftsutgifter ",1227673000
1143,1,"Driftsutgifter ",185880000
1147,1,"Driftsutgifter ",44840000
1150,1,"Driftsutgifter ",2500000
1300,1,"Driftsutgifter ",141700000
1313,1,"Driftsutgifter ",194000000
1314,1,"Driftsutgifter ",63400000
1354,1,"Driftsutgifter ",59600000
1380,1,"Driftsutgifter ",160400000
1400,1,"Driftsutgifter ",265914000
1408,1,"Driftsutgifter ",12599000
1420,1,"Driftsutgifter ",719049000
1425,1,"Driftsutgifter ",15000000
1429,1,"Driftsutgifter ",135348000
1465,1,"Driftsutgifter ",222699000
1471,1,"Driftsutgifter ",205903000
1474,1,"Driftsutgifter, kan nyttes under postene 50 og 70",4298000
1500,1,"Driftsutgifter ",225102000
1510,1,"Driftsutgifter ",1492699000
1520,1,"Driftsutgifter ",598239000
1530,1,"Driftsutgifter ",9874000
1535,1,"Driftsutgifter ",3370000
1536,1,"Driftsutgifter ",4450000
1550,1,"Driftsutgifter ",87165000
1560,1,"Driftsutgifter ",188827000
1562,1,"Driftsutgifter ",4477000
1570,1,"Driftsutgifter ",38264000
1571,1,"Driftsutgifter ",1858000
1581,1,"Driftsutgifter ",24565000
1584,1,"Driftsutgifter ",19653000
1585,1,"Driftsutgifter ",406107000
1590,1,"Driftsutgifter ",1152516000
1592,1,"Driftsutgifter, kan nyttes under post 70",54750000
1600,1,"Driftsutgifter ",321800000
1602,1,"Driftsutgifter ",327500000
1605,1,"Driftsutgifter ",338200000
1610,1,"Driftsutgifter ",1507500000
1618,1,"Driftsutgifter ",4554000000
1620,1,"Driftsutgifter ",527400000
1634,1,"Driftsutgifter ",284500000
1638,1,"Driftsutgifter, kan overføres",9200000
1650,1,"Driftsutgifter ",33000000
1700,1,"Driftsutgifter ",373483000
1710,1,"Driftsutgifter, kan overføres",3034794000
1719,1,"Driftsutgifter ",254421000
1720,1,"Driftsutgifter ",3872711000
1721,1,"Driftsutgifter ",32363000
1723,1,"Driftsutgifter ",198466000
1725,1,"Driftsutgifter ",2020488000
1731,1,"Driftsutgifter ",5240804000
1732,1,"Driftsutgifter ",3427384000
1733,1,"Driftsutgifter ",4403498000
1734,1,"Driftsutgifter ",1183838000
1740,1,"Driftsutgifter ",2087765000
1760,1,"Driftsutgifter, kan nyttes under kap.1760, post 45",1017568000
1761,1,"Driftsutgifter ",83257000
1790,1,"Driftsutgifter ",1014339000
1791,1,"Driftsutgifter ",857541000
1792,1,"Driftsutgifter ",851525000
1795,1,"Driftsutgifter ",268307000
1800,1,"Driftsutgifter ",165959000
1810,1,"Driftsutgifter ",247100000
1820,1,"Driftsutgifter ",487000000
2410,1,"Driftsutgifter, kan nyttes under post 45",334991000
2412,1,"Driftsutgifter ",335000000
24,21,"Spesielle driftsutgifter ",17500000
100,21,"Spesielle driftsutgifter, kan overføres",12650000
167,21,"Spesielle driftsutgifter ",1564419000
200,21,"Spesielle driftsutgifter ",11542000
220,21,"Spesielle driftsutgifter, kan nyttes under post 70",153231000
224,21,"Spesielle driftsutgifter ",32866000
225,21,"Spesielle driftsutgifter ",89773000
226,21,"Spesielle driftsutgifter, kan overføres",1077129000
230,21,"Spesielle driftsutgifter ",58410000
231,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 51",210513000
256,21,"Spesielle driftsutgifter ",16521000
257,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 70",5511000
258,21,"Spesielle driftsutgifter, kan nyttes under post 1",54658000
280,21,"Spesielle driftsutgifter ",10000
287,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 71",10803000
288,21,"Spesielle driftsutgifter ",6707000
300,21,"Spesielle driftsutgifter ",2589000
314,21,"Spesielle driftsutgifter ",2200000
315,21,"Forskning og utredning ",9780000
320,21,"Forskning og utredning, kan overføres",8682000
324,21,"Spesielle driftsutgifter, kan overføres",58687000
329,21,"Spesielle driftsutgifter, kan overføres",21000000
334,21,"Spesielle driftsutgifter, kan overføres",8572000
339,21,"Spesielle driftsutgifter, kan overføres",7648000
410,21,"Spesielle driftsutgifter ",20724000
413,21,"Spesielle driftsutgifter, kan overføres",13328000
414,21,"Spesielle driftsutgifter ",38723000
430,21,"Spesielle driftsutgifter, kan nyttes under kap. 430 post 1",84165000
440,21,"Spesielle driftsutgifter ",226013000
451,21,"Spesielle driftsutgifter, kan overføres",5002000
455,21,"Spesielle driftsutgifter ",18022000
469,21,"Spesielle driftsutgifter ",67896000
475,21,"Spesielle driftsutgifter, kan overføres",6877000
490,21,"Spesielle driftsutgifter, statlige mottak ",1741702000
491,21,"Spesielle driftsutgifter, nemndbehandling, kan nyttes under post 1",12413000
500,21,"Spesielle forsknings- og utredningsoppdrag, kan overføres",9300000
552,21,"Kunnskapsutvikling, informasjon, mv., kan overføres",15900000
571,21,"Spesielle driftsutgifter, kan overføres",19500000
581,21,"Kunnskapsutvikling og -formidling ",4700000
601,21,"Spesielle driftsutgifter ",62400000
605,21,"Spesielle driftsutgifter ",29810000
621,21,"Spesielle driftsutgifter ",63740000
634,21,"Forsøk, utviklingstiltak mv., kan overføres",60400000
640,21,"Spesielle driftsutgifter, regionale verneombud ",10600000
642,21,"Spesielle driftsutgifter ",23800000
648,21,"Spesielle driftsutgifter, kan overføres, kan nyttes under post 1",1960000
649,21,"Spesielle driftsutgifter - Treparts bransjeprogrammer ",10900000
701,21,"Spesielle driftsutgifter ",217150000
